Date,Start Time,End Time,Hours,Location
02/08/2021,08.00,14.30,06.30,Home
03/08/2021,08.30,13.00,04.30,Home
06/08/2021,09.00,16.00,07.00,Home
09/08/2021,08.00,13.30,05.30,Home
10/08/2021,09.30,13.00,03.30,Home
23/08/2021,08.00,16.00,08.00,Home
24/08/2021,08.30,13.00,04.30,Home
25/08/2021,08.00,16.00,08.00,Home
26/08/2021,08.00,14.00,06.00,Home
27/08/2021,08.30,15.00,06.30,Home
30/08/2021,08.00,16.00,08.00,Home
31/08/2021,08.30,13.00,04.30,Office
01/09/2021,08.00,16.00,08.00,Office
02/09/2021,08.00,16.00,08.00,Office
03/09/2021,08.00,16.00,08.00,Office
06/09/2021,08.00,16.00,08.00,Office
07/09/2021,08.00,16.00,08.00,Office
08/09/2021,08.00,16.00,08.00,Office
09/09/2021,08.00,16.00,08.00,Office
10/09/2021,08.00,16.00,08.00,Office
13/09/2021,08.00,16.00,08.00,Office
14/09/2021,08.00,16.00,08.00,Office
15/09/2021,08.00,16.00,08.00,Office
16/09/2021,08.00,16.00,08.00,Office
17/09/2021,08.00,16.00,08.00,Office
20/09/2021,08.00,16.00,08.00,Home
21/09/2021,08.00,16.00,08.00,Home
22/09/2021,08.00,16.00,08.00,Home
23/09/2021,08.00,16.00,08.00,Home
24/09/2021,08.00,16.00,08.00,Home
27/09/2021,08.00,14.00,06.00,Home
28/09/2021,08.00,14.00,06.00,Office
29/09/2021,08.00,14.00,06.00,Office
30/09/2021,08.00,14.00,06.00,Office
01/10/2021,08.00,14.00,06.00,Office
